Error,ErrorRate,ControlSignal
0.025712,3.2032,-0.55027
0.038149,-1.6904,0.37837
0.055391,-1.6958,0.30998
0.05796,-1.6958,0.29912
0.070324,-1.6903,0.24792
0.082773,3.2034,-0.78138
0.10024,3.2196,-0.85544
0.10814,3.2411,-0.89238
0.11628,-1.6149,0.045135
0.12472,3.2999,-0.97277
0.13838,3.3369,-1.0361
0.14268,-1.504,-0.086563
0.15231,-1.4572,-0.13592
0.16243,3.477,-1.1648
0.16821,-1.3499,-0.22422
0.16968,-1.2897,-0.24389
0.17179,-1.2253,-0.26688
0.16479,-1.157,-0.25423
0.16338,-1.0851,-0.26464
0.15782,-1.0096,-0.25911
0.15304,-0.93095,-0.25727
0.14906,-0.84931,-0.25921
0.15568,-0.76495,-0.30409
0.15827,-0.67814,-0.3334
0.1715,-0.58917,-0.40582
0.18076,-0.49832,-0.46278
0.19582,-0.40587,-0.54341
0.2118,-0.31212,-0.62817
0.22873,-0.21738,-0.71705
0.23685,-0.12194,-0.77095
0.24592,-0.026114,-0.82885
0.24619,-4.813,0.12497
0.24741,0.16549,-0.87811
0.23494,-4.6222,0.12688
0.22342,0.35497,-0.82476
0.19819,-4.4346,0.23202
0.19341,0.53992,-0.74574
0.18466,0.62995,-0.73063
0.17191,-4.1648,0.27752
0.15027,-4.0791,0.34534
0.15388,0.88685,-0.66382
0.14855,0.96717,-0.66006
0.13911,1.0444,-0.63921
0.12067,1.1183,-0.58149
0.12736,1.1886,-0.62354
0.12497,1.2551,-0.62853
0.11345,-3.5652,0.38039
0.10254,1.3759,-0.56524
0.11171,1.4298,-0.61378
0.11164,1.4791,-0.62447
0.097381,-3.3591,0.39915
0.088426,1.5634,-0.55045
0.099373,1.5981,-0.60213
0.09599,-3.2551,0.38105
0.083109,-3.2307,0.42677
0.065561,-3.2115,0.49241
0.067706,-3.1977,0.48039
0.065076,-3.1893,0.48854
0.052734,-3.1864,0.53671
0.050159,1.694,-0.42957
0.052412,1.6862,-0.43752
0.039908,1.6729,-0.38532
0.027242,1.6543,-0.33126
0.019244,1.6304,-0.2947
0.020744,1.6013,-0.29507
0.01216,1.5671,-0.25404
-0.0016778,-3.3549,0.78567
-0.0061687,-3.399,0.81249
-0.0013613,1.4349,-0.17351
-0.021482,-3.5013,0.89433
-0.032396,1.3236,-0.026728
-0.039029,1.2615,0.012606
-0.041422,-3.6874,1.0123
-0.059146,-3.7573,1.0977
-0.082473,-3.8309,1.2064
-0.091905,0.97504,0.28386
-0.092358,0.89501,0.30259
-0.11316,0.81213,0.4034
-0.13968,-4.1562,1.5044
-0.15243,0.63885,0.59789
-0.1563,0.54901,0.63287
-0.17573,-4.4254,1.7071
-0.20096,-4.5185,1.8285
-0.21737,0.27012,0.93854
-0.22984,0.17503,1.0097
-0.24814,-4.8034,2.081
-0.26252,-0.016521,1.1837
-0.27786,-0.11237,1.2669
-0.2844,-0.20786,1.3149
-0.28211,4.5801,0.35107
